Series,Year,Rate
1985,Male Officers,16
1985,Female Officers,0
1985,Male Civilians,4
1985,Female Civilians,3
1986,Male Officers,12
1986,Female Officers,0
1986,Male Civilians,4
1986,Female Civilians,6
1987,Male Officers,17
1987,Female Officers,1
1987,Male Civilians,6
1987,Female Civilians,4
1988,Male Officers,16
1988,Female Officers,1
1988,Male Civilians,3
1988,Female Civilians,6
1989,Male Officers,13
1989,Female Officers,2
1989,Male Civilians,0
1989,Female Civilians,6
1990,Male Officers,17
1990,Female Officers,2
1990,Male Civilians,3
1990,Female Civilians,5
1991,Male Officers,16
1991,Female Officers,2
1991,Male Civilians,0
1991,Female Civilians,5
1992,Male Officers,15
1992,Female Officers,2
1992,Male Civilians,0
1992,Female Civilians,6
1993,Male Officers,15
1993,Female Officers,2
1993,Male Civilians,0
1993,Female Civilians,6
1994,Male Officers,14
1994,Female Officers,3
1994,Male Civilians,2
1994,Female Civilians,5
1995,Male Officers,14
1995,Female Officers,4
1995,Male Civilians,2
1995,Female Civilians,5
1996,Male Officers,15
1996,Female Officers,3
1996,Male Civilians,1
1996,Female Civilians,5
1997,Male Officers,15
1997,Female Officers,3
1997,Male Civilians,1
1997,Female Civilians,5
1998,Male Officers,16
1998,Female Officers,2
1998,Male Civilians,0
1998,Female Civilians,7
1999,Male Officers,10
1999,Female Officers,2
1999,Male Civilians,1
1999,Female Civilians,3
2000,Male Officers,13
2000,Female Officers,1
2000,Male Civilians,0
2000,Female Civilians,3
2001,Male Officers,13
2001,Female Officers,1
2001,Male Civilians,0
2001,Female Civilians,5
2002,Male Officers,12
2002,Female Officers,1
2002,Male Civilians,2
2002,Female Civilians,3
2003,Male Officers,13
2003,Female Officers,1
2003,Male Civilians,2
2003,Female Civilians,5
2004,Male Officers,15
2004,Female Officers,2
2004,Male Civilians,1
2004,Female Civilians,5
2005,Male Officers,13
2005,Female Officers,2
2005,Male Civilians,3
2005,Female Civilians,3
2006,Male Officers,16
2006,Female Officers,2
2006,Male Civilians,2
2006,Female Civilians,3
2007,Male Officers,17
2007,Female Officers,1
2007,Male Civilians,3
2007,Female Civilians,4
2008,Male Officers,18
2008,Female Officers,1
2008,Male Civilians,2
2008,Female Civilians,2
2009,Male Officers,20
2009,Female Officers,1
2009,Male Civilians,3
2009,Female Civilians,2
2010,Male Officers,20
2010,Female Officers,2
2010,Male Civilians,3
2010,Female Civilians,2
2011,Male Officers,21
2011,Female Officers,2
2011,Male Civilians,2
2011,Female Civilians,3
2012,Male Officers,18
2012,Female Officers,1
2012,Male Civilians,2
2012,Female Civilians,5
2013,Male Officers,16
2013,Female Officers,2
2013,Male Civilians,0
2013,Female Civilians,7
2014,Male Officers,19
2014,Female Officers,6
2014,Male Civilians,4
2014,Female Civilians,5
2015,Male Officers,19
2015,Female Officers,6
2015,Male Civilians,4
2015,Female Civilians,5
2016,Male Officers,19
2016,Female Officers,6
2016,Male Civilians,4
2016,Female Civilians,5
2017,Male Officers,
2017,Female Officers,
2017,Male Civilians,
2017,Female Civilians,
2018,Male Officers,
2018,Female Officers,
2018,Male Civilians,
2018,Female Civilians,
