Label,Value,Year
Reported,5,1985
Cleared,5,1985
Reported,6,1986
Cleared,5,1986
Reported,5,1987
Cleared,5,1987
Reported,5,1988
Cleared,5,1988
Reported,10,1989
Cleared,8,1989
Reported,7,1990
Cleared,7,1990
Reported,21,1991
Cleared,21,1991
Reported,6,1992
Cleared,6,1992
Reported,8,1993
Cleared,8,1993
Reported,1,1994
Cleared,1,1994
Reported,2,1995
Cleared,3,1995
Reported,1,1996
Cleared,1,1996
Reported,4,1997
Cleared,4,1997
Reported,1,1998
Cleared,1,1998
Reported,3,1999
Cleared,2,1999
Reported,4,2000
Cleared,4,2000
Reported,0,2002
Cleared,0,2002
Reported,4,2003
Cleared,4,2003
Reported,6,2004
Cleared,6,2004
Reported,5,2005
Cleared,5,2005
Reported,2,2006
Cleared,2,2006
Reported,4,2007
Cleared,3,2007
Reported,6,2008
Cleared,6,2008
Reported,3,2009
Cleared,2,2009
Reported,1,2010
Cleared,1,2010
Reported,1,2011
Cleared,1,2011
Reported,15,2012
Cleared,12,2012
Reported,5,2013
Cleared,7,2013
Reported,11,2014
Cleared,9,2014
Reported,14,2015
Cleared,13,2015
Reported,11,2016
Cleared,11,2016
Reported,5,2017
Cleared,5,2017
Reported,15,2018
Cleared,15,2018
